title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,778 ratings",Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,136 ratings,Not Available
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"40,096 ratings",Not Available
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,759 ratings,Not Available
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.3 out of 5 stars,402 ratings,Not Available
"GamingBoy 2 Pack Wireless Controller for PS4, Crack Design Remote Control for Ps4/Slim/Pro/PC with Led RGB Light-up,Hall Effect Joystick,Type-C Port,1000mah Battery,Vibration,6-Axis Sensor,Audio Jack",,4.6 out of 5 stars,59 ratings,Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,596 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.3 out of 5 stars,378 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.1 out of 5 stars,318 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.6 out of 5 stars,"5,026 ratings",Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.4 out of 5 stars,"4,139 ratings",Not Available
PlayStation 4,,4.6 out of 5 stars,"13,645 ratings",Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle (Renewed) [video game],,5.0 out of 5 stars,13 ratings,Not Available
PS4 Slim 500GB Console + Controller,,4.4 out of 5 stars,"1,920 ratings",Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle [Discontinued],,4.5 out of 5 stars,817 ratings,Only 2 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.6 out of 5 stars,"2,825 ratings",Not Available
"PDP RIFFMASTER Wireless Guitar Controller for PlayStation 5 and PlayStation 4, PS5/PS4, Rock Band 4, Fortnite Festival, Audio Jack, Rechargeable Battery, Officially Licensed by Sony - Black",,4.4 out of 5 stars,785 ratings,Not Available
"Turtle Beach Stealth 700 Gen 3 Wireless Multiplatform Amplified Gaming Headset for PS5, PS4, PC, Mobile – 60mm Drivers, AI Noise-Cancelling Mic, Bluetooth, 80-Hr Battery, Dual Transmitters – Black",,4.2 out of 5 stars,207 ratings,In Stock
"Wireless Gaming Headset for PS5, PS4, PC, Mac, Switch, 2.4GHz Gaming Headsets with Bluetooth 5.4, Hidden ENC Noise Canceling Mic, 35H Battery, 3D Spatial Sound, 3.5mm Wired",,3.9 out of 5 stars,112 ratings,Not Available
